anno	geneIDs	geneNames
426	AGFG2|3268	3268	AGFG2
427	AGGF1|55109	55109	AGGF1
428	AGK|55750	55750	AGK
429	AGL|178	178	AGL
430	AGMAT|79814	79814	AGMAT
431	AGPAT1|10554	10554	AGPAT1
432	AGPAT2|10555	10555	AGPAT2
433	AGPAT3|56894	56894	AGPAT3
434	AGPAT4|56895	56895	AGPAT4
435	AGPAT5|55326	55326	AGPAT5
436	AGPAT6|137964	137964	AGPAT6
437	AGPAT9|84803	84803	AGPAT9
438	AGPHD1|123688	123688	AGPHD1
439	AGPS|8540	8540	AGPS
440	AGR2|10551	10551	AGR2
441	AGR3|155465	155465	AGR3
442	AGRN|375790	375790	AGRN
443	AGRP|181	181	AGRP
444	AGTPBP1|23287	23287	AGTPBP1
445	AGTR1|185	185	AGTR1
446	AGTR2|186	186	AGTR2
447	AGTRAP|57085	57085	AGTRAP
448	AGT|183	183	AGT
449	AGXT2L1|64850	64850	AGXT2L1
450	AGXT2L2|85007	85007	AGXT2L2
451	AGXT2|64902	64902	AGXT2
452	AGXT|189	189	AGXT
453	AHCTF1|25909	25909	AHCTF1
454	AHCYL1|10768	10768	AHCYL1
455	AHCYL2|23382	23382	AHCYL2
456	AHCY|191	191	AHCY
457	AHDC1|27245	27245	AHDC1
458	AHI1|54806	54806	AHI1
459	AHNAK2|113146	113146	AHNAK2
460	AHNAK|79026	79026	AHNAK
461	AHRR|57491	57491	AHRR
462	AHR|196	196	AHR
463	AHSA1|10598	10598	AHSA1
464	AHSA2|130872	130872	AHSA2
465	AHSG|197	197	AHSG
466	AHSP|51327	51327	AHSP
467	AICDA|57379	57379	AICDA
468	AIDA|64853	64853	AIDA
469	AIF1L|83543	83543	AIF1L
470	AIF1|199	199	AIF1
471	AIFM1|9131	9131	AIFM1
472	AIFM2|84883	84883	AIFM2
473	AIFM3|150209	150209	AIFM3
474	AIG1|51390	51390	AIG1
475	AIM1L|55057	55057	AIM1L
476	AIM1|202	202	AIM1
477	AIM2|9447	9447	AIM2
478	AIMP1|9255	9255	AIMP1
479	AIMP2|7965	7965	AIMP2
480	AIPL1|23746	23746	AIPL1
481	AIP|9049	9049	AIP
482	AIRE|326	326	AIRE
483	AJAP1|55966	55966	AJAP1
484	AK1|203	203	AK1
485	AK2|204	204	AK2
486	AK3L1|205	205	AK3L1
487	AK3|50808	50808	AK3
488	AK5|26289	26289	AK5
489	AK7|122481	122481	AK7
490	AKAP10|11216	11216	AKAP10
491	AKAP11|11215	11215	AKAP11
492	AKAP12|9590	9590	AKAP12
493	AKAP13|11214	11214	AKAP13
494	AKAP14|158798	158798	AKAP14
495	AKAP1|8165	8165	AKAP1
496	AKAP2|11217	11217	AKAP2
497	AKAP3|10566	10566	AKAP3
498	AKAP4|8852	8852	AKAP4
499	AKAP5|9495	9495	AKAP5
500	AKAP6|9472	9472	AKAP6
501	AKAP7|9465	9465	AKAP7
502	AKAP8L|26993	26993	AKAP8L
503	AKAP8|10270	10270	AKAP8
504	AKAP9|10142	10142	AKAP9
505	AKD1|221264	221264	AKD1
506	AKIRIN1|79647	79647	AKIRIN1
507	AKIRIN2|55122	55122	AKIRIN2
508	AKNAD1|254268	254268	AKNAD1
509	AKNA|80709	80709	AKNA
510	AKR1A1|10327	10327	AKR1A1
511	AKR1B10|57016	57016	AKR1B10
512	AKR1B15|441282	441282	AKR1B15
513	AKR1B1|231	231	AKR1B1
514	AKR1C1|1645	1645	AKR1C1
515	AKR1C2|1646	1646	AKR1C2
516	AKR1C3|8644	8644	AKR1C3
517	AKR1C4|1109	1109	AKR1C4
518	AKR1CL1|340811	340811	AKR1CL1
519	AKR1D1|6718	6718	AKR1D1
520	AKR1E2|83592	83592	AKR1E2
521	AKR7A2|8574	8574	AKR7A2
522	AKR7A3|22977	22977	AKR7A3
523	AKR7L|246181	246181	AKR7L
524	AKT1S1|84335	84335	AKT1S1
525	AKT1|207	207	AKT1
526	AKT2|208	208	AKT2
527	AKT3|10000	10000	AKT3
528	AKTIP|64400	64400	AKTIP
529	ALAD|210	210	ALAD
530	ALAS1|211	211	ALAS1
531	ALAS2|212	212	ALAS2
532	ALB|213	213	ALB
533	ALCAM|214	214	ALCAM
534	ALDH16A1|126133	126133	ALDH16A1
535	ALDH18A1|5832	5832	ALDH18A1
